Filetime;VL-Temperatur (Soll);VL-Temperatur (Ist);RL-Temperatur (Ist);Öffnung des Durchgangsventils (Soll)
132912214350230000;40;41.1;39.4;20.2140446
132912214350330000;40;41.1;39.4;20.2140446
132912214350430000;40;41.1;39.4;20.2025852
132912214350530000;40;41.1;39.4;20.2025852
132912214350630000;40;41.1;39.4;20.2025852
132912214350730000;40;41.1;39.4;20.2025852
132912214350830000;40;41.1;39.4;20.2025852
132912214350930000;40;41.1;39.4;20.1911278
132912214351030000;40;41.1;39.4;20.1911278
132912214351130000;40;41.1;39.4;20.1911278
132912214351230000;40;41.1;39.4;20.1911278
132912214351330000;40;41.1;39.4;20.1911278
132912214351430000;40;41.1;39.4;20.1796684
132912214351530000;40;41.1;39.4;20.1796684
132912214351630000;40;41.1;39.4;20.1796684
132912214351730000;40;41.1;39.4;20.1796684
132912214351830000;40;41.1;39.4;20.1796684
132912214351930000;40;41.1;39.4;20.168211
132912214352030000;40;41.1;39.4;20.168211
132912214352130000;40;41.1;39.4;20.168211
132912214352230000;40;41.1;39.4;20.168211
132912214352330000;40;41.1;39.4;20.168211
132912214352430000;40;41.1;39.4;20.1567516
132912214352530000;40;41.1;39.4;20.1567516
132912214352630000;40;41.1;39.4;20.1567516
132912214352730000;40;41.1;39.4;20.1567516
132912214352830000;40;41.1;39.4;20.1567516
132912214352930000;40;41.1;39.4;20.1452942
132912214353030000;40;41.1;39.4;20.1452942
132912214353130000;40;41.1;39.4;20.1452942
132912214353230000;40;41.1;39.4;20.1452942
132912214353330000;40;41.1;39.4;20.1452942
132912214353430000;40;41.1;39.4;20.1338348
132912214353530000;40;41.1;39.4;20.1338348
132912214353630000;40;41.1;39.4;20.1338348
132912214353730000;40;41.1;39.4;20.1338348
132912214353830000;40;41.1;39.4;20.1338348
132912214353930000;40;41.1;39.4;20.1223774
132912214354030000;40;41.1;39.4;20.1223774
132912214354130000;40;41.1;39.4;20.1223774
132912214354230000;40;41.1;39.4;20.1223774
132912214354330000;40;41.1;39.4;20.1223774
132912214354430000;40;41.1;39.4;20.110918
132912214354530000;40;41.1;39.4;20.110918
132912214354630000;40;41.1;39.4;20.110918
132912214354730000;40;41.1;39.4;20.110918
132912214354830000;40;41.1;39.4;20.110918
132912214354930000;40;41.1;39.4;20.09946
132912214355030000;40;41.1;39.4;20.09946
132912214355130000;40;41.1;39.4;20.09946
132912214355230000;40;41.1;39.4;20.09946
132912214355330000;40;41.1;39.4;20.09946
132912214355430000;40;41.1;39.4;20.0880032
132912214355530000;40;41.1;39.4;20.0880032
132912214355630000;40;41.1;39.4;20.0880032
132912214355730000;40;41.1;39.4;20.0880032
132912214355830000;40;41.1;39.4;20.0880032
132912214355930000;40;41.1;39.4;20.0765438
132912214356030000;40;41.1;39.4;20.0765438
132912214356130000;40;41.1;39.4;20.0765438
132912214356230000;40;41.1;39.4;20.0765438
132912214356330000;40;41.1;39.4;20.0765438
132912214356430000;40;41.1;39.4;20.0650864
132912214356530000;40;41.1;39.4;20.0650864
132912214356630000;40;41.1;39.4;20.0650864
132912214356730000;40;41.1;39.4;20.0650864
132912214356830000;40;41.1;39.4;20.0650864
132912214356930000;40;41.1;39.4;20.053627
132912214357030000;40;41.1;39.4;20.053627
132912214357130000;40;41.1;39.4;20.053627
132912214357230000;40;41.1;39.4;20.053627
132912214357330000;40;41.1;39.4;20.053627
132912214357430000;40;41.1;39.4;20.04217
132912214357530000;40;41.1;39.4;20.04217
132912214357630000;40;41.1;39.4;20.04217
132912214357730000;40;41.1;39.4;20.04217
132912214357830000;40;41.1;39.4;20.04217
132912214357930000;40;41.1;39.4;20.03071
