Filetime;VL-Temperatur (Soll);VL-Temperatur (Ist);RL-Temperatur (Ist);Öffnung des Durchgangsventils (Soll)
132912114360030000;40;40.1;39.2;14.3473692
132912114360130000;40;40.1;39.2;14.3463278
132912114360230000;40;40.1;39.2;14.3463278
132912114360330000;40;40.1;39.2;14.3463278
132912114360430000;40;40.1;39.2;14.3463278
132912114360530000;40;40.1;39.2;14.3463278
132912114360630000;40;40.1;39.2;14.3452854
132912114360730000;40;40.1;39.2;14.3452854
132912114360830000;40;40.1;39.2;14.3452854
132912114360930000;40;40.1;39.2;14.3452854
132912114361030000;40;40.1;39.2;14.3452854
132912114361130000;40;40.1;39.2;14.344244
132912114361230000;40;40.1;39.2;14.344244
132912114361330000;40;40.1;39.2;14.344244
132912114361430000;40;40.1;39.2;14.344244
132912114361530000;40;40.1;39.2;14.344244
132912114361630000;40;40.1;39.2;14.3432026
132912114361730000;40;40.1;39.2;14.3432026
132912114361830000;40;40.1;39.2;14.3432026
132912114361930000;40;40.1;39.2;14.3432026
132912114362030000;40;40.1;39.2;14.3432026
132912114362130000;40;40.1;39.2;14.3421612
132912114362230000;40;40.1;39.2;14.3421612
132912114362330000;40;40.1;39.2;14.3421612
132912114362430000;40;40.1;39.2;14.3421612
132912114362530000;40;40.1;39.2;14.3421612
132912114362630000;40;40.1;39.2;14.3411188
132912114362730000;40;40.1;39.2;14.3411188
132912114362830000;40;40.1;39.2;14.3411188
132912114362930000;40;40.1;39.2;14.3411188
132912114363030000;40;40.1;39.2;14.3411188
132912114363130000;40;40.1;39.2;14.3400774
132912114363230000;40;40.1;39.2;14.3400774
132912114363330000;40;40.1;39.2;14.3400774
132912114363430000;40;40.1;39.2;14.3400774
132912114363530000;40;40.1;39.2;14.3400774
132912114363630000;40;40.1;39.2;14.339036
132912114363730000;40;40.1;39.2;14.339036
132912114363830000;40;40.1;39.2;14.339036
132912114363930000;40;40.1;39.2;14.339036
132912114364030000;40;40.1;39.2;14.339036
132912114364130000;40;40.1;39.2;14.3379946
132912114364230000;40;40.1;39.2;14.3379946
132912114364330000;40;40.1;39.2;14.3379946
132912114364430000;40;40.1;39.2;14.3379946
132912114364530000;40;40.1;39.2;14.3379946
132912114364630000;40;40.1;39.2;14.3369522
132912114364730000;40;40.1;39.2;14.3369522
132912114364830000;40;40.1;39.2;14.3369522
132912114364930000;40;40.1;39.2;14.3369522
132912114365030000;40;40.1;39.2;14.3369522
132912114365130000;40;40.1;39.2;14.3359108
132912114365230000;40;40.1;39.2;14.3359108
132912114365330000;40;40.1;39.2;14.3359108
132912114365430000;40;40.1;39.2;14.3359108
132912114365530000;40;40.1;39.2;14.3359108
132912114365630000;40;40.1;39.2;14.3348694
132912114365730000;40;40.1;39.2;14.3348694
132912114365830000;40;40.1;39.2;14.3348694
132912114365930000;40;40.1;39.2;14.3348694
132912114366030000;40;40.1;39.2;14.3348694
132912114366130000;40;40.1;39.2;14.333828
132912114366230000;40;40.1;39.2;14.333828
132912114366330000;40;40.1;39.2;14.333828
132912114366430000;40;40.1;39.2;14.333828
132912114366530000;40;40.1;39.2;14.333828
132912114366630000;40;40.1;39.2;14.3327856
132912114366730000;40;40.1;39.2;14.3327856
132912114366830000;40;40.1;39.2;14.3327856
132912114366930000;40;40.1;39.2;14.3327856
132912114367030000;40;40.1;39.2;14.3327856
132912114367130000;40;40.1;39.2;14.3317442
132912114367230000;40;40.1;39.2;14.3317442
132912114367330000;40;40.1;39.2;14.3317442
132912114367430000;40;40.1;39.2;14.3317442
132912114367530000;40;40.1;39.2;14.3317442
132912114367630000;40;40.1;39.2;14.3307028
132912114367730000;40;40.1;39.2;14.3307028
132912114367830000;40;40.1;39.2;14.3307028
132912114367930000;40;40.1;39.2;14.3307028
132912114368030000;40;40.1;39.2;14.3307028
132912114368130000;40;40.1;39.2;14.3296614
132912114368230000;40;40.1;39.2;14.3296614
132912114368330000;40;40.1;39.2;14.3296614
132912114368430000;40;40.1;39.2;14.3296614
132912114368530000;40;40.1;39.2;14.3296614
132912114368630000;40;40.1;39.2;14.328619
132912114368730000;40;40.1;39.2;14.328619
132912114368830000;40;40.1;39.2;14.328619
132912114368930000;40;40.1;39.2;14.328619
132912114369030000;40;40.1;39.2;14.328619
132912114369130000;40;40.1;39.2;14.3275776
132912114369230000;40;40.1;39.2;14.3275776
132912114369330000;40;40.1;39.2;14.3275776
132912114369430000;40;40.1;39.2;14.3275776
132912114369530000;40;40.1;39.2;14.3275776
132912114369630000;40;40.1;39.2;14.3265362
132912114369730000;40;40.1;39.2;14.3265362
132912114369830000;40;40.1;39.2;14.3265362
132912114369930000;40;40.1;39.2;14.3265362
132912114370030000;40;40.1;39.2;14.3265362
132912114370130000;40;40.1;39.2;14.3254948
132912114370230000;40;40.1;39.2;14.3254948
132912114370330000;40;40.1;39.2;14.3254948
132912114370430000;40;40.1;39.2;14.3254948
132912114370530000;40;40.1;39.2;14.3254948
132912114370630000;40;40.1;39.2;14.3244524
132912114370730000;40;40.1;39.2;14.3244524
132912114370830000;40;40.1;39.2;14.3244524
132912114370930000;40;40.1;39.2;14.3244524
132912114371030000;40;40.1;39.2;14.3244524
132912114371130000;40;40.1;39.2;14.323411
132912114371230000;40;40.1;39.2;14.323411
132912114371330000;40;40.1;39.2;14.323411
132912114371430000;40;40.1;39.2;14.323411
132912114371530000;40;40.1;39.2;14.323411
132912114371630000;40;40.1;39.2;14.32237
132912114371730000;40;40.1;39.2;14.32237
132912114371830000;40;40.1;39.2;14.32237
